place_id,attraction,address,category,price_adult,price_child,time_min_hours,time_avg_hours,google_rating,num_reviews,t,g,tg
0,Montreal Biodome,"4777 Pierre-de Coubertin Ave, Montreal, Quebec H1V 1B3",Nature,18.75,9.5,1,2,4.4,5633,0.333333333,0.936170213,0.312056738
1,Cap-Saint-Jacques Nature Park,"20099 Boul Gouin O, Pierrefonds, QC H9K 1C6",Nature,0,0,2,3,4.5,2576,0.5,0.957446809,0.478723404
2,Montreal Chinatown,"2 Rue De La Gauchetière O, Montréal, QC H2Z 1B9",Heritage,0,0,0.5,2,4.3,171,0.333333333,0.914893617,0.304964539
3,Circuit Gilles Villeneuve,"Parc Jean-Drapeau, Montréal, QC H3C 6A1",Entertainment,0,0,1,3,4.5,8214,0.5,0.957446809,0.478723404
4,Ecomuseum Zoo,"21125 Sainte Marie Rd, Sainte-Anne-de-Bellevue, QC H9X 3Y7",Nature,15,9,1.5,2.5,4.4,3444,0.416666667,0.936170213,0.390070922
5,Habitat 67,"2600 Av Pierre-Dupuy, Montréal, QC H3C 3R6",Heritage,0,0,2,3,4.5,281,0.5,0.957446809,0.478723404
6,Jean-Talon Market,"7070 Henri Julien Ave, Montreal, QC H2S 3S3",Food,10,5,0.3,1,4.6,19663,0.166666667,0.978723404,0.163120567
7,Saint Joseph's Oratory,"3800 Queen Mary Rd, Montreal, Quebec H3V 1H6",Heritage,0,0,2,3,4.7,12398,0.5,1,0.5
8,La Ronde,"22 Chem. Macdonald, Montréal, QC H3C 6A3",Entertainment,40,40,1,6,4.1,14122,1,0.872340426,0.872340426
9,"Mary, Queen Of The World Cathedral","1085 Rue de la Cathédrale, Montréal, QC H3B 2V3",Heritage,0,0,0.15,1,4.7,1989,0.166666667,1,0.166666667
10,Montreal Botanical Garden,"4101 Sherbrooke St E, Montreal, QC H1X 2B2",Nature,20.5,10.25,2,3,4.6,18908,0.5,0.978723404,0.489361702
11,Montreal Casino,"1 Avenue du Casino, Montréal, QC H3C 4W7",Entertainment,100,Unavailable,0.25,3.5,4.3,12062,0.583333333,0.914893617,0.533687943
12,Montreal Clock Tower,"1 Clock Tower Quay St, Montreal, QC H2L 5C1",Heritage,0,0,1,2,4.5,1334,0.333333333,0.957446809,0.319148936
13,Montreal Museum Of Fine Arts,"1380 Sherbrooke St W, Montreal, QC H3G 1J5",Museum,24,0,2,6,4.7,10821,1,1,1
14,Montreal Science Center,"2 de la Commune St W, Montreal, QC H2Y 4B2",Museum,22,11,3,4,4.4,4090,0.666666667,0.936170213,0.624113475
15,Mount Royal Park,"1260 Remembrance Rd, Montreal, QC H3H 1A2",Nature,0,0,2,3,4.7,23727,0.5,1,0.5
16,Musee Grevin Montreal,"705 Saint-Catherine St W, Montreal, Quebec H3B 4G5",Museum,20,15,1,2,4.4,1602,0.333333333,0.936170213,0.312056738
17,Notre-Dame Basilica of Montreal,"110 Notre-Dame St W, Montreal, Quebec H2Y 1T1",Heritage,6,4,0.15,1,4.7,20317,0.166666667,1,0.166666667
18,Notre-Dame-de-Bon-Secours Chapel,"400, rue Saint-Paul Est; Montreal, Quebec H2Y 1H4",Heritage,0,0,1,2,4.6,831,0.333333333,0.978723404,0.326241135
19,Observatoire Place Ville Marie,"01 Place Ville Marie, Montreal, Quebec H3B 4S6",Heritage,19,9,1,2,4.5,1054,0.333333333,0.957446809,0.319148936
20,Olympic Stadium,"4141 Pierre-de Coubertin Ave, Montreal, QC H1V 3N7",Entertainment,33.5,16.5,1,1.5,4.4,3676,0.25,0.936170213,0.234042553
21,Parc Jean-Drapeau,"1 Circuit Gilles Villeneuve, Montréal, QC H3C 1A9",Nature,0,0,3,4,4.3,111,0.666666667,0.914893617,0.609929078
22,Redpath Museum,"859 Sherbrooke St W, Montreal, QC H3A 0C4",Museum,10,0,3,4,4.5,1406,0.666666667,0.957446809,0.638297872
23,Rio Tinto Alcan Planetarium,"4801 Pierre-de Coubertin Ave, Montreal, QC H1V 3N4",Museum,20.25,10.25,2,4,4.2,588,0.666666667,0.893617021,0.595744681
24,Schwartzus Deli,"3895 St Laurent Blvd, Montreal, QC H2W 1X9",Food,14,7,0.25,1,4.4,13966,0.166666667,0.936170213,0.156028369
25,Marche Atwater,"138 Atwater Ave, Montreal, Quebec H4C 2H6",Nature,10,5,0.3,1,4.5,9734,0.166666667,0.957446809,0.159574468
26,La Grande Roue de Montreal,"362 Rue de la Commune E, Montréal, QC H2Y 0B4",Entertainment,25,19.75,0.5,1,4.3,981,0.166666667,0.914893617,0.15248227
27,Canadian Railway Museum,"110 Rue St Pierre, Saint-Constant, QC J5A 1G7",Museum,21.2,12.75,3,4,4.6,1760,0.666666667,0.978723404,0.65248227
28,Montreal City Hall,"275 Notre-Dame St. East, Montreal, Quebec H2Y 1C6",Heritage,0,0,0.25,1,4.2,212,0.166666667,0.893617021,0.14893617
29,Tyrolienne MTL Zipline,"Hangar 16, 363 Rue de la Commune E, Montréal, QC",Entertainment,20,17,0.3,0.5,4.5,712,0.083333333,0.957446809,0.079787234
h5,Hotel Casa Bella,,,59,,,0,,,,,
,Trudeau Airport,,,0,,,0,,,,,
dummy,dummy,,,0,,,0,,,,,
