,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,h9,airport,dummy
0,0,55.24,15.55,16.12,51.91,21.22,18.09,28.92,15.7,17.68,8.86,18.87,15.32,17.43,16.8,20.67,18.42,16.94,15.31,18.78,8.86,17.24,16.74,8.86,15.59,20.26,15.43,45.2,15.46,15.45,19.73,83.37,0
1,55.23,0,52.58,57.03,16.22,54.5,46.22,44.39,56.62,50.6,55.09,57.29,51.69,49.87,52.95,51.33,50.56,53.04,51.34,51.34,55.31,57.89,51.11,55.35,51.33,48.69,51.77,52.76,51.49,51.82,51.84,36.3,0
2,16.34,52.01,0,12.56,48.67,12.26,14.49,20.04,12.17,8.86,14.89,15.45,8.86,9.27,8.86,13.7,8.86,8.86,8.86,8.86,14.98,13.63,9.01,17.18,8.86,11.46,8.86,37.95,8.86,8.86,9.84,36.94,0
3,16.39,57.62,13.26,0,54.28,8.89,19.4,26.56,8.86,15.41,15.23,8.86,12.98,18.75,14.21,19.99,16.1,14.49,13.07,16.43,15.34,8.86,15.94,17.08,15.05,18.11,13.07,39.7,13.34,13.07,15.46,41.77,0
4,52.37,16.2,49.71,54.31,0,52.03,43.44,41.42,53.9,47.8,52.29,54.63,48.89,46.96,46.96,48.74,47.6,50.36,48.5,48.29,52.46,54.99,48.45,52.49,48.61,45.82,48.97,54.78,48.65,48.97,50.84,38.34,0
5,20.9,54.71,11.18,10.28,51.37,0,20.54,22.92,9.01,10.49,20.87,8.86,11.83,12.45,10.58,18.6,11.06,10.3,11.42,11.23,20.96,8.87,11.76,21.63,14.03,13.63,11.9,36.61,11.71,11.9,12.6,38.77,0
6,18.39,46.53,14.76,18.12,9.12,21.1,0,17.25,17.67,15.95,16.52,20.45,14.84,15.4,15.77,14.76,14.84,15.45,14.66,15.54,16.64,19.03,14.02,18.54,12.09,18.76,14.86,15,14.86,14.96,15.21,33.1,0
7,29.4,44.62,21.31,26.61,41.26,23.72,22.46,0,26.2,13.76,29.5,26.56,20.37,10.97,21.78,17.26,12.66,15.76,19.97,13.36,29.72,27.6,12.01,30.2,14.11,12.86,20.47,36.56,12.91,20.47,11.92,31.07,0
8,15.28,56.72,12.36,8.86,53.34,9.01,18.48,25.5,0,14.4,14.21,8.86,11.97,16.49,13.44,19.96,15.05,14.64,12.17,15.44,14.38,8.86,16.14,16.16,14.05,17.27,12.17,38.88,12.44,12.18,15.05,41.41,0
9,18.41,47.08,8.86,14.25,46.44,10.81,15.36,13.46,13.78,0,15.95,13.67,9.15,8.86,8.86,13.1,8.86,8.86,8.86,9.11,16,15.37,8.86,19.25,9.22,9.36,9.19,35.6,8.86,9.12,8.86,81.88,0
