,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,h7,airport,dummy
0,0,84.81,23.6,24.43,79.7,32.12,26.9,43.45,23.83,26.82,11.16,28.4,23.2,25.96,25.31,30.68,27.8,25.5,23.19,28.32,11.16,26.04,24.95,11.16,23.37,30.68,23.39,69.02,23.44,23.41,30.2,128.94,0
1,84.93,0,81.29,88.28,24.87,84.26,70.82,67.96,87.63,77.82,84.72,88.5,79.99,76.78,81.82,78.53,77.72,81.92,79.45,78.97,85.06,89.6,78.65,85.13,78.69,75.16,80.1,80.9,79.68,80.16,82.05,52.26,0
2,24.64,80.37,0,19.23,75.27,18.93,21.71,30.42,18.61,12.23,22.27,23.55,11.78,14.06,11.22,20.7,12.03,11.25,11.22,12.48,22.44,20.79,13.63,25.84,12.25,17.72,11.88,57.71,11.56,11.95,11.59,53.95,0
3,24.72,89.08,20.22,0,84,13.76,29.01,40.03,11.16,23.48,23.02,12.86,19.83,28.35,21.64,29.9,24.44,22.08,19.94,24.91,23.18,11.16,23.99,25.77,22.71,27.53,19.97,60.77,20.32,19.97,25.22,61.31,0
4,80.5,24.89,76.81,84.03,0,80.3,66.69,63.47,83.38,73.49,80.39,84.3,75.63,72.27,72.27,74.43,73.21,77.71,75.03,74.19,80.66,85.15,74.47,80.73,74.44,70.75,75.75,84.76,75.28,75.77,77.02,56.02,0
5,31.74,84.56,17.3,16.01,79.45,0,30.87,34.8,14.08,16.24,31.69,12.28,18.47,19.14,16.49,28.06,17.09,16.01,17.87,17.4,31.85,13.83,18.16,32.85,21.37,21.16,18.61,55.88,18.31,18.61,16.56,56.6,0
6,27.58,71.33,22.35,27.31,14.15,31.76,0,25.89,26.62,24.05,24.85,30.78,22.34,23.19,23.73,22.4,22.43,23.28,22,23.4,25.03,28.58,21.29,27.8,18.55,28.12,22.37,22.56,22.32,22.51,24.81,47.72,0
7,44.33,68.58,32.47,40.32,63.47,36,34.11,0,39.7,20.88,44.41,40.22,31.17,16.86,33.16,26.19,19.32,23.68,30.57,20.31,44.73,41.71,18.46,45.51,21.46,19.68,31.31,55.29,19.74,31.31,24.47,44.46,0
8,23.26,87.8,19.05,12.22,82.64,14.09,27.83,38.66,0,22.15,21.67,13.18,18.49,25.13,20.59,30.08,23.07,22.44,18.71,23.62,21.9,11.16,24.63,24.53,21.36,26.38,18.76,59.62,19.11,18.76,23.16,60.72,0
9,28.08,72.3,11.9,21.74,71.74,16.7,23.19,20.5,21.02,0,23.98,20.98,14.02,11.16,13.1,20.15,11.16,11.96,13.38,13.98,24.07,23.34,11.16,29.26,14.08,14.39,14.08,54.12,12.97,14,11.16,127.28,0
10,12.88,79.69,23.61,23.36,79.26,31.96,24.75,43,22.38,26.74,0,26.85,23.27,24.08,25.28,29.23,27.58,27.86,23.3,28.11,11.16,24.82,23.15,13.17,21.92,30.57,23.4,70.11,23.7,23.3,29.64,64.89,0
11,28.27,83.87,21.98,15.57,83.41,12.65,32.01,39.32,13.55,20.74,26.6,0,23.32,23.68,21.21,32.44,21.62,20.67,24.66,23.98,29.04,13.28,22.85,29,25.98,25.95,23.45,60.1,23.13,23.45,21.02,134.12,0
